TITLE,Computer Science,Physics,Mathematics,Statistics
Optimal Envelope Approximation in Fourier Basis with Applications in TV White Space,1,0,0,0
The curl operator on odd-dimensional manifolds,0,0,1,0
Generalized Lambert series and arithmetic nature of odd zeta values,0,0,1,0
Towards a Service-oriented Platform for Intelligent Apps in Intermediate Cities,1,0,0,0
Bistable reaction equations with doubly nonlinear diffusion,0,0,1,0
Static Free Space Detection with Laser Scanner using Occupancy Grid Maps,1,0,0,0
Proactive Edge Computing in Latency-Constrained Fog Networks,1,0,0,0
Deuterium fractionation and H2D+ evolution in turbulent and magnetized cloud cores,0,1,0,0
Searching for the Transit of the Earth--mass exoplanet Proxima~Centauri~b in Antarctica: Preliminary Result,0,1,0,0
A Data-Driven Sparse-Learning Approach to Model Reduction in Chemical Reaction Networks,1,0,0,0
Parity-Forbidden Transitions and Their Impacts on the Optical Absorption Properties of Lead-Free Metal Halide Perovskites and Double Perovskites,0,1,0,0
A Belief Propagation Algorithm for Multipath-Based SLAM,1,0,0,0
Local methods for blocks of finite simple groups,0,0,1,0
Motion Planning for a Humanoid Mobile Manipulator System,1,0,0,0
A giant planet undergoing extreme ultraviolet irradiation by its hot massive-star host,0,1,0,0
"Characterizing videos, audience and advertising in Youtube channels for kids",1,0,0,0
Vanishing theorems for the negative K-theory of stacks,0,0,1,0
Gravitational radiation from compact binary systems in screened modified gravity,0,1,0,0
weedNet: Dense Semantic Weed Classification Using Multispectral Images and MAV for Smart Farming,1,0,0,0
An explicit determination of the $K$-theoretic structure constants of the affine Grassmannian associated to $SL_2$,0,0,1,0
A Generalized Framework for the Estimation of Causal Moderation Effects with Randomized Treatments and Non-Randomized Moderators,0,0,0,1
Spherical Functions on Riemannian Symmetric Spaces,0,0,1,0
Modular curves with infinitely many cubic points,0,0,1,0
Semi-Analytical Perturbative Approaches to Third Body Resonant Trajectories,0,1,0,0
Thermophoretic MHD Flow and Non-linear Radiative Heat Transfer with Convective Boundary Conditions over a Non-linearly Stretching Sheet,0,1,0,0
Learning Neural Models for End-to-End Clustering,0,0,0,1
Anisotropic exchange and spin-wave damping in pure and electron-doped Sr$_2$IrO$_4$,0,1,0,0
Anomalous transport properties in Nb/Bi1.95Sb0.05Se3 hybrid structure,0,1,0,0
State-dependent Priority Scheduling for Networked Control Systems,1,0,0,0
Deformation conditions for pseudorepresentations,0,0,1,0
Adaptive local surface refinement based on LR NURBS and its application to contact,1,0,0,0
"Approximate Program Smoothing Using Mean-Variance Statistics, with Application to Procedural Shader Bandlimiting",1,0,0,0
Trusted Multi-Party Computation and Verifiable Simulations: A Scalable Blockchain Approach,1,0,0,0
A Survey of Deep Learning Techniques for Mobile Robot Applications,1,0,0,0
Continuum of quantum fluctuations in a three-dimensional $S\!=\!1$ Heisenberg magnet,0,1,0,0
SimProp v2r4: Monte Carlo simulation code for UHECR propagation,0,1,0,0
Non-negative Matrix Factorization via Archetypal Analysis,1,0,0,0
Muon Reconstruction in the Daya Bay Water Pools,0,1,0,0
Improving Foot-Mounted Inertial Navigation Through Real-Time Motion Classification,1,0,0,0
An Extended Low Fat Allocator API and Applications,1,0,0,0
A novel distribution-free hybrid regression model for manufacturing process efficiency improvement,0,0,0,1
Exploring deep learning as an event classification method for the Cherenkov Telescope Array,0,1,0,0
Photo-Induced Bandgap Renormalization Governs the Ultrafast Response of Single-Layer MoS2,0,1,0,0
Language Modeling by Clustering with Word Embeddings for Text Readability Assessment,1,0,0,0
Far-field theory for trajectories of magnetic ellipsoids in rectangular and circular channels,0,1,0,0
On M-functions associated with modular forms,0,0,1,0
Slow and Long-ranged Dynamical Heterogeneities in Dissipative Fluids,0,1,0,0
A Globally Linearly Convergent Method for Pointwise Quadratically Supportable Convex-Concave Saddle Point Problems,0,0,1,0
Stability of casein micelles cross-linked with genipin: a physicochemical study as a function of pH,0,1,0,0
Kites and Residuated Lattices,0,0,1,0
TED Talk Recommender Using Speech Transcripts,1,0,0,0
Triplet Network with Attention for Speaker Diarization,0,0,0,1
Dynamics of cracks in disordered materials,0,1,0,0
Optimum Decoder for Multiplicative Spread Spectrum Image Watermarking with Laplacian Modeling,1,0,0,0
Hybrid Collaborative Recommendation via Semi-AutoEncoder,1,0,0,0
The Linear Point: A cleaner cosmological standard ruler,0,1,0,0
Incompressible limit of the Navier-Stokes model with a growth term,0,0,1,0
Stochastic Primal-Dual Method on Riemannian Manifolds with Bounded Sectional Curvature,0,0,1,0
Nudging the particle filter,0,0,0,1
Quantum oscillations and a non-trivial Berry phase in the noncentrosymmetric superconductor BiPd,0,1,0,0
Banach synaptic algebras,0,0,1,0
"Pressure tuning of structure, superconductivity and novel magnetic order in the Ce-underdoped electron-doped cuprate T'-Pr_1.3-xLa_0.7Ce_xCuO_4 (x = 0.1)",0,1,0,0
Regrasping by Fixtureless Fixturing,1,0,0,0
Subset Labeled LDA for Large-Scale Multi-Label Classification,0,0,0,1
A Hybrid Approach to Video Source Identification,1,0,0,0
Learning Sparse Polymatrix Games in Polynomial Time and Sample Complexity,1,0,0,0
Superposition solutions to the extended KdV equation for water surface waves,0,1,0,0
Boosting the Actor with Dual Critic,1,0,0,0
Counting Dominating Sets of Graphs,0,0,1,0
Communication Reducing Algorithms for Distributed Hierarchical N-Body Problems with Boundary Distributions,1,0,0,0
Traffic Surveillance Camera Calibration by 3D Model Bounding Box Alignment for Accurate Vehicle Speed Measurement,1,0,0,0
Distance Measure Machines,0,0,0,1
DSBGK Method to Incorporate the CLL Reflection Model and to Simulate Gas Mixtures,0,1,0,0
"Tropical formulae for summation over a part of SL(2, Z)",0,0,1,0
Efficient sampling of conditioned Markov jump processes,0,0,0,1
Holography and thermalization in optical pump-probe spectroscopy,0,1,0,0
Representing Hybrid Automata by Action Language Modulo Theories,1,0,0,0
An enthalpy-based multiple-relaxation-time lattice Boltzmann method for solid-liquid phase change heat transfer in metal foams,0,1,0,0
Birth of a subaqueous barchan dune,0,1,0,0
Uncoupled isotonic regression via minimum Wasserstein deconvolution,0,0,0,1
Perils of Zero-Interaction Security in the Internet of Things,1,0,0,0
"Coarse-grained simulation of auxetic, two-dimensional crystal dynamics",0,1,0,0
Core2Vec: A core-preserving feature learning framework for networks,1,0,0,0
Randomly coloring simple hypergraphs with fewer colors,1,0,0,0
Channel masking for multivariate time series shapelets,1,0,0,0
Spin mediated enhanced negative magnetoresistance in Ni80Fe20 and p-silicon bilayer,0,1,0,0
A simple introduction to Karmarkar's Algorithm for Linear Programming,1,0,0,0
Magneto-inductive Passive Relaying in Arbitrarily Arranged Networks,1,0,0,0
Asymptotics of the bound state induced by $δ$-interaction supported on a weakly deformed plane,0,0,1,0
Análise comparativa de pesquisas de origens e destinos: uma abordagem baseada em Redes Complexas,1,0,0,0
Inverse Kinematics for Control of Tensegrity Soft Robots: Existence and Optimality of Solutions,1,0,0,0
Development of probabilistic dam breach model using Bayesian inference,0,0,0,1
Large Magellanic Cloud Near-Infrared Synoptic Survey. V. Period-Luminosity Relations of Miras,0,0,0,1
One-Step Time-Dependent Future Video Frame Prediction with a Convolutional Encoder-Decoder Neural Network,1,0,0,0
Deep Multi-User Reinforcement Learning for Distributed Dynamic Spectrum Access,1,0,0,0
Myopic Bayesian Design of Experiments via Posterior Sampling and Probabilistic Programming,0,0,0,1
Data-Driven Sparse Structure Selection for Deep Neural Networks,1,0,0,0
Scaling laws and bounds for the turbulent G.O. Roberts dynamo,0,1,0,0
Control Strategies for the Fokker-Planck Equation,0,0,1,0
On Popov's formula involving the Von Mangoldt function,0,0,1,0
On fibering compact manifold over the circle,0,0,1,0
Phonon-Induced Topological Transition to a Type-II Weyl Semimetal,0,1,0,0
A Bayesian Nonparametrics based Robust Particle Filter Algorithm,0,0,0,1
Highly accurate model for prediction of lung nodule malignancy with CT scans,0,0,0,1
Rotating Rayleigh-Taylor turbulence,0,1,0,0
Evolutionary dynamics of N-person Hawk-Dove games,0,1,0,0
A global model for predicting the arrival of imported dengue infections,1,0,0,0
Contextually Customized Video Summaries via Natural Language,1,0,0,0
Observation of surface plasmon polaritons in 2D electron gas of surface electron accumulation in InN nanostructures,0,1,0,0
Asymmetric Mach-Zehnder atom interferometers,0,1,0,0
Partial Information Stochastic Differential Games for Backward Stochastic Systems Driven By Lévy Processes,0,0,1,0
Inter-Session Modeling for Session-Based Recommendation,1,0,0,0
Multiscale Modeling of Shock Wave Localization in Porous Energetic Material,0,1,0,0
Criteria for the Application of Double Exponential Transformation,0,0,1,0
Ultra-high strain in epitaxial silicon carbide nanostructures utilizing residual stress amplification,0,1,0,0
The Diverse Club: The Integrative Core of Complex Networks,0,1,0,0
Bayesian Semisupervised Learning with Deep Generative Models,0,0,0,1
Robust Detection of Covariate-Treatment Interactions in Clinical Trials,0,0,0,1
The Future of RICH Detectors through the Light of the LHCb RICH,0,1,0,0
Stability of Valuations: Higher Rational Rank,0,0,1,0
Higgs mode and its decay in a two dimensional antiferromagnet,0,1,0,0
Robust and Efficient Boosting Method using the Conditional Risk,0,0,0,1
Stop talking to me -- a communication-avoiding ADER-DG realisation,1,0,0,0
The effect of prior probabilities on quantification and propagation of imprecise probabilities resulting from small datasets,0,0,0,1
"An efficient data structure for counting all linear extensions of a poset, calculating its jump number, and the likes",1,0,0,0
Deep Fluids: A Generative Network for Parameterized Fluid Simulations,0,0,0,1
An Unsupervised Learning Classifier with Competitive Error Performance,0,0,0,1
Exploring the predictability of range-based volatility estimators using RNNs,0,0,0,1
EnergyNet: Energy-based Adaptive Structural Learning of Artificial Neural Network Architectures,1,0,0,0
Local Algorithms for Hierarchical Dense Subgraph Discovery,1,0,0,0
Robust Gesture-Based Communication for Underwater Human-Robot Interaction in the context of Search and Rescue Diver Missions,1,0,0,0
High-$T_\textrm {C}$ superconductivity in Cs$_3$C$_{60}$ compounds governed by local Cs-C$_{60}$ Coulomb interactions,0,1,0,0
Analysis and mitigation of interface losses in trenched superconducting coplanar waveguide resonators,0,1,0,0
Recent Operation of the FNAL Magnetron $H^{-}$ Ion Source,0,1,0,0
A Ball Breaking Away from a Fluid,0,1,0,0
Unveiling the internal entanglement structure of the Kondo singlet,0,1,0,0
Dynamics of the multi-soliton waves in the sine-Gordon model with two identical point impurities,0,1,0,0
Clarifying the Hubble constant tension with a Bayesian hierarchical model of the local distance ladder,0,1,0,0
Multi-User Multi-Armed Bandits for Uncoordinated Spectrum Access,0,0,0,1
A Comparative Analysis of Contact Models in Trajectory Optimization for Manipulation,1,0,0,0
Computationally Efficient Measures of Internal Neuron Importance,0,0,0,1
Mutual Interpretability of Robinson Arithmetic and Adjunctive Set Theory with Extensionality,0,0,1,0
Coordination of Dynamic Software Components with JavaBIP,1,0,0,0
Is It Safe to Uplift This Patch? An Empirical Study on Mozilla Firefox,1,0,0,0
Gamorithm,1,0,0,0
Outage analysis in two-way communication with RF energy harvesting relay and co-channel interference,1,0,0,0
The solitary g-mode frequencies in early B-type stars,0,1,0,0
Composition of Credal Sets via Polyhedral Geometry,1,0,0,0
The microarchitecture of a multi-threaded RISC-V compliant processing core family for IoT end-nodes,1,0,0,0
A Recent Survey on the Applications of Genetic Programming in Image Processing,1,0,0,0
Optimal Input Placement in Lattice Graphs,1,0,0,0
Construction of constant mean curvature n-noids using the DPW method,0,0,1,0
The X-ray reflection spectrum of the radio-loud quasar 4C 74.26,0,1,0,0
Tree Structured Synthesis of Gaussian Trees,1,0,0,0
Information Retrieval and Recommendation System for Astronomical Observatories,0,1,0,0
Database Learning: Toward a Database that Becomes Smarter Every Time,1,0,0,0
A Continuous Relaxation of Beam Search for End-to-end Training of Neural Sequence Models,1,0,0,0
Measurably entire functions and their growth,0,0,1,0
Completely $p$-primitive binary quadratic forms,0,0,1,0
Analysis of Multivariate Data and Repeated Measures Designs with the R Package MANOVA.RM,0,0,0,1
Photoelectron Yields of Scintillation Counters with Embedded Wavelength-Shifting Fibers Read Out With Silicon Photomultipliers,0,1,0,0
"Precise measurement of hyperfine structure in the $ \rm {3\,S_{1/2}} $ state of $ \rm{^7Li} $",0,1,0,0
Reconstructing global fields from dynamics in the abelianized Galois group,0,0,1,0
Algebraic models of the Euclidean plane,0,0,1,0
Decentralization of Multiagent Policies by Learning What to Communicate,1,0,0,0
The tumbling rotational state of 1I/`Oumuamua,0,1,0,0
Homology theory formulas for generalized Riemann-Hurwitz and generalized monoidal transformations,0,0,1,0
Video and Accelerometer-Based Motion Analysis for Automated Surgical Skills Assessment,1,0,0,0
A Theory of Complex Stochastic Systems with Two Types of Counteracting Entities,0,1,0,0
Mixing of odd- and even-frequency pairings in strongly correlated electron systems under magnetic field,0,1,0,0
Stability of the Poincaré bundle,0,0,1,0
Existence results for primitive elements in cubic and quartic extensions of a finite field,0,0,1,0
Morse geodesics in torsion groups,0,0,1,0
Global and local thermometry schemes in coupled quantum systems,0,1,0,0
A levitated nanoparticle as a classical two-level atom,0,1,0,0
The LCES HIRES/Keck Precision Radial Velocity Exoplanet Survey,0,1,0,0
Artificial Intelligence Based Malware Analysis,1,0,0,0
Bounded height in families of dynamical systems,0,0,1,0
Input-to-State Stability of a Clamped-Free Damped String in the Presence of Distributed and Boundary Disturbances,1,0,0,0
A New Achievable Rate Region for Multiple-Access Channel with States,1,0,0,0
Reassessing Graphene Absorption and Emission Spectroscopy,0,1,0,0
Analytic heating rate of neutron star merger ejecta derived from Fermi's theory of beta decay,0,1,0,0
Molecular Simulation of Caloric Properties of Fluids Modelled by Force Fields with Intramolecular Contributions: Application to Heat Capacities,0,1,0,0
On well-posedness of a velocity-vorticity formulation of the Navier-Stokes equations with no-slip boundary conditions,0,0,1,0
Asynchronous Byzantine Machine Learning (the case of SGD),0,0,0,1
A Recorded Debating Dataset,1,0,0,0
Tube Convolutional Neural Network (T-CNN) for Action Detection in Videos,1,0,0,0
Revealing Hidden Potentials of the q-Space Signal in Breast Cancer,1,0,0,0
Concave Flow on Small Depth Directed Networks,1,0,0,0
Knowledge Management Strategies and Processes in Agile Software Development: A Systematic Literature Review,1,0,0,0
A supernova at 50 pc: Effects on the Earth's atmosphere and biota,0,1,0,0
Surface tension of flowing soap films,0,1,0,0
Plugo: a VLC Systematic Perspective of Large-scale Indoor Localization,1,0,0,0
Deep Convolutional Networks as shallow Gaussian Processes,0,0,0,1
FluxMarker: Enhancing Tactile Graphics with Dynamic Tactile Markers,1,0,0,0
On Diamond's $L^1$ criterion for asymptotic density of Beurling generalized integers,0,0,1,0
"""i have a feeling trump will win.................."": Forecasting Winners and Losers from User Predictions on Twitter",1,0,0,0
SLAM-Assisted Coverage Path Planning for Indoor LiDAR Mapping Systems,1,0,0,0
Low energy bands and transport properties of chromium arsenide,0,1,0,0
High Dynamic Range Imaging Technology,1,0,0,0
Classification of pro-$p$ PD$^2$ pairs and the pro-$p$ curve complex,0,0,1,0
A Survey on Content-Aware Video Analysis for Sports,1,0,0,0
Fine Structure and Lifetime of Dark Excitons in Transition Metal Dichalcogenide Monolayers,0,1,0,0
Canonical sine and cosine Transforms For Integrable Boehmians,0,0,1,0
Learning a Predictive Model for Music Using PULSE,1,0,0,0
Learning Nonlinear Brain Dynamics: van der Pol Meets LSTM,0,0,0,1
Neural networks for topology optimization,1,0,0,0
Abstract Interpretation with Unfoldings,1,0,0,0
Perturbation theory for cosmologies with non-linear structure,0,1,0,0
"Heads or tails in zero gravity: an example of a classical contextual ""measurement""",0,1,0,0
Amortized Inference Regularization,0,0,0,1
Phase Synchronization on Spacially Embeded Duplex Networks with Total Cost Constraint,0,1,0,0
Excited states of defect lines in silicon: A first-principles study based on hydrogen cluster analogues,0,1,0,0
Neutral Carbon Emission in luminous infrared galaxies The \CI\ Lines as Total Molecular Gas Tracers,0,1,0,0
Composition Factors of Tensor Products of Symmetric Powers,0,0,1,0
Stochastic Ratcheting on a Funneled Energy Landscape is Necessary for Highly Efficient Contractility of Actomyosin Force Dipoles,0,1,0,0
Mitigation of Phase Noise in Massive MIMO Systems: A Rate-Splitting Approach,1,0,0,0
Tangle-tree duality in abstract separation systems,0,0,1,0
Attention-Based Guided Structured Sparsity of Deep Neural Networks,0,0,0,1
A Graph Model with Indirect Co-location Links,1,0,0,0
Essentially No Barriers in Neural Network Energy Landscape,0,0,0,1
Homogenization of nonlinear elliptic systems in nonreflexive Musielak-Orlicz spaces,0,0,1,0
Proceedings Fifth International Workshop on Verification and Program Transformation,1,0,0,0
H-infinity Filtering for Cloud-Aided Semi-active Suspension with Delayed Information,1,0,0,0
Deep Spatio-Temporal Random Fields for Efficient Video Segmentation,0,0,0,1
Approximating the Backbone in the Weighted Maximum Satisfiability Problem,1,0,0,0
Fulde-Ferrell-Larkin-Ovchinnikov state in spin-orbit-coupled superconductors,0,1,0,0
New type integral inequalities for convex functions with applications II,0,0,1,0
Geometric Insights into Support Vector Machine Behavior using the KKT Conditions,0,0,0,1
Smart Grids Data Analysis: A Systematic Mapping Study,1,0,0,0
On the K-theory of C*-algebras for substitution tilings (a pedestrian version),0,0,1,0
The Tutte embedding of the mated-CRT map converges to Liouville quantum gravity,0,0,1,0
On the Computation of the Shannon Capacity of a Discrete Channel with Noise,1,0,0,0
Gorenstein homological properties of tensor rings,0,0,1,0
Compositional Human Pose Regression,1,0,0,0
Stochastic functional differential equations and sensitivity to their initial path,0,0,1,0
Remarks on Inner Functions and Optimal Approximants,0,0,1,0
A Stochastic Model for File Lifetime and Security in Data Center Networks,1,0,0,0
Building a Structured Query Engine,1,0,0,0
A Theoretical Perspective of Solving Phaseless Compressed Sensing via Its Nonconvex Relaxation,0,0,1,0
A Comprehensive Study of Ly$α$ Emission in the High-redshift Galaxy Population,0,1,0,0
Optimal Timing of Decisions: A General Theory Based on Continuation Values,0,0,1,0
OSIRIS-REx Contamination Control Strategy and Implementation,0,1,0,0
Curse of Heterogeneity: Computational Barriers in Sparse Mixture Models and Phase Retrieval,0,0,0,1
Modality Attention for End-to-End Audio-visual Speech Recognition,1,0,0,0
When flux standards go wild: white dwarfs in the age of Kepler,0,1,0,0
Stable representations of posets,0,0,1,0
Automatic segmentation of trees in dynamic outdoor environments,1,0,0,0
Dynamic Security Analysis of Power Systems by a Sampling-Based Algorithm,1,0,0,0
Stochastic and Chance-Constrained Conic Distribution System Expansion Planning Using Bilinear Benders Decomposition,0,0,1,0
Multi-Hop Extensions of Energy-Efficient Wireless Sensor Network Time Synchronization,1,0,0,0
Value added or misattributed? A multi-institution study on the educational benefit of labs for reinforcing physics content,0,1,0,0
Explicit evaluation of harmonic sums,0,0,1,0
Complete Cyclic Proof Systems for Inductive Entailments,1,0,0,0
HybridNet: Classification and Reconstruction Cooperation for Semi-Supervised Learning,0,0,0,1
Learning Distributed Representations of Texts and Entities from Knowledge Base,1,0,0,0
Moduli Spaces of Unordered $n\ge5$ Points on the Riemann Sphere and Their Singularities,0,0,1,0
Multipath Error Correction in Radio Interferometric Positioning Systems,1,0,0,0
An evaluation homomorphism for quantum toroidal gl(n) algebras,0,0,1,0
Monitoring Telluric Absorption with CAMAL,0,1,0,0
Common Knowledge in a Logic of Gossips,1,0,0,0
Network-theoretic approach to sparsified discrete vortex dynamics,0,1,0,0
Symmetries of handlebodies and their fixed points: Dihedral extended Schottky groups,0,0,1,0
Speaker Diarization using Deep Recurrent Convolutional Neural Networks for Speaker Embeddings,1,0,0,0
Network of vertically c-oriented prism shaped InN nanowalls grown on c-GaN/sapphire template by chemical vapor deposition technique,0,1,0,0
Enhanced version of AdaBoostM1 with J48 Tree learning method,0,0,0,1
Variability response functions for statically determinate beams with arbitrary nonlinear constitutive laws,0,1,0,0
Bayesian Uncertainty Estimation for Batch Normalized Deep Networks,0,0,0,1
Computing Simple Multiple Zeros of Polynomial Systems,0,0,1,0
Refracting Metasurfaces without Spurious Diffraction,0,1,0,0
Accurate Motion Estimation through Random Sample Aggregated Consensus,1,0,0,0
Landau Collision Integral Solver with Adaptive Mesh Refinement on Emerging Architectures,1,0,0,0
Faster Tensor Canonicalization,1,0,0,0
Mass Preconditioning for the Exact One-Flavor Action in Lattice QCD with Domain-Wall Fermion,0,1,0,0
Finite-time scaling at the Anderson transition for vibrations in solids,0,1,0,0
Weighted Low Rank Approximation for Background Estimation Problems,0,0,1,0
Controlling Chiral Domain Walls in Antiferromagnets Using Spin-Wave Helicity,0,1,0,0
The Spatial Shape of Avalanches,0,1,0,0
Multiple Topological Electronic Phases in Superconductor MoC,0,1,0,0
Extension complexity of stable set polytopes of bipartite graphs,1,0,0,0
Performance Scaling Law for Multi-Cell Multi-User Massive MIMO,1,0,0,0
On the Status of the Measurement Problem: Recalling the Relativistic Transactional Interpretation,0,1,0,0
Pressure-tuning of bond-directional exchange interactions and magnetic frustration in hyperhoneycomb iridate $β$-$\mathrm{Li_2IrO_3}$,0,1,0,0
On perpetuities with gamma-like tails,0,0,1,0
Computationally Efficient Estimation of the Spectral Gap of a Markov Chain,0,0,0,1
Mixed Precision Training of Convolutional Neural Networks using Integer Operations,1,0,0,0
Performance of a small size telescope (SST-1M) camera for gamma-ray astronomy with the Cherenkov Telescope Array,0,1,0,0
Bounded solutions for a class of Hamiltonian systems,0,0,1,0
Cosmological perturbation effects on gravitational-wave luminosity distance estimates,0,1,0,0
Nanostructured complex oxides as a route towards thermal behavior in artificial spin ice systems,0,1,0,0
Finding Submodularity Hidden in Symmetric Difference,1,0,0,0
A Simple Convolutional Generative Network for Next Item Recommendation,0,0,0,1
High-temperature terahertz optical diode effect without magnetic order in polar FeZnMo$_3$O$_8$,0,1,0,0
Phase diagrams of Bose-Hubbard model and antiferromagnetic spin-1/2 models on a honeycomb lattice,0,1,0,0
Forecasting the Impact of Stellar Activity on Transiting Exoplanet Spectra,0,1,0,0
CMB anisotropies at all orders: the non-linear Sachs-Wolfe formula,0,1,0,0
On a binary system of Prendiville: The cubic case,0,0,1,0
Learning Normalized Inputs for Iterative Estimation in Medical Image Segmentation,1,0,0,0
Strong isomorphism in Marinatto-Weber type quantum games,1,0,0,0
Causal Inference by Stochastic Complexity,1,0,0,0
WOMBAT: A Scalable and High Performance Astrophysical MHD Code,0,1,0,0
Securing Virtual Network Function Placement with High Availability Guarantees,1,0,0,0
The Case for Pyriproxyfen as a Potential Cause for Microcephaly; From Biology to Epidemiology,0,1,0,0
CODA: Enabling Co-location of Computation and Data for Near-Data Processing,1,0,0,0
Generative Models for Spear Phishing Posts on Social Media,0,0,0,1
SkipFlow: Incorporating Neural Coherence Features for End-to-End Automatic Text Scoring,1,0,0,0
Automated Speed and Lane Change Decision Making using Deep Reinforcement Learning,1,0,0,0
Reduction of topological $\mathbb{Z}$ classification in cold atomic systems,0,1,0,0
Reducing biases on $H_0$ measurements using strong lensing and galaxy dynamics: results from the EAGLE simulation,0,1,0,0
Characterizing the ionospheric current pattern response to southward and northward IMF turnings with dynamical SuperMAG correlation networks,0,1,0,0
On a question of Buchweitz about ranks of syzygies of modules of finite length,0,0,1,0
Learning convex bounds for linear quadratic control policy synthesis,0,0,0,1
General mixed multi-soliton solution to the multi-component Maccari system,0,1,0,0
Resolution and Relevance Trade-offs in Deep Learning,1,0,0,0
Heisenberg Modules over Quantum 2-tori are metrized quantum vector bundles,0,0,1,0
GraphCombEx: A Software Tool for Exploration of Combinatorial Optimisation Properties of Large Graphs,1,0,0,0
Approches d'analyse distributionnelle pour améliorer la désambiguïsation sémantique,1,0,0,0
Non-degenerate parametric resonance in tunable superconducting cavity,0,1,0,0
Acceleration of Mean Square Distance Calculations with Floating Close Structure in Metadynamics Simulations,1,0,0,0
Bridging Semantic Gaps between Natural Languages and APIs with Word Embedding,1,0,0,0
Feedback optimal controllers for the Heston model,0,0,1,0
User Experience of the CoSTAR System for Instruction of Collaborative Robots,1,0,0,0
Graph complexity and Mahler measure,0,0,1,0
Neutronic Analysis on Potential Accident Tolerant Fuel-Cladding Combination U$_3$Si$_2$-FeCrAl,0,1,0,0
Total-positivity preservers,0,0,1,0
A Macdonald refined topological vertex,0,0,1,0
Bias voltage effects on tunneling magnetoresistance in Fe/MgAl${}_2$O${}_4$/Fe(001) junctions: Comparative study with Fe/MgO/Fe(001) junctions,0,1,0,0
Listen to Your Face: Inferring Facial Action Units from Audio Channel,1,0,0,0
Icing on the Cake: An Easy and Quick Post-Learnig Method You Can Try After Deep Learning,0,0,0,1
Estimating Achievable Range of Ground Robots Operating on Single Battery Discharge for Operational Efficacy Amelioration,1,0,0,0
Likelihood ratio test for variance components in nonlinear mixed effects models,0,0,0,1
Hölder continuous solutions of the Monge-Ampère equation on compact Hermitian manifolds,0,0,1,0
The beamformer and correlator for the Large European Array for Pulsars,0,1,0,0
Comparative Climates of TRAPPIST-1 planetary system: results from a simple climate-vegetation model,0,1,0,0
Boundedness of $\mathbb{Q}$-Fano varieties with degrees and alpha-invariants bounded from below,0,0,1,0
Width Hierarchies for Quantum and Classical Ordered Binary Decision Diagrams with Repeated Test,1,0,0,0
Complementary views on electron spectra: From Fluctuation Diagnostics to real space correlations,0,1,0,0
Stall force of a cargo driven by N interacting motor proteins,0,1,0,0
Dynamics of a Camphoric Acid boat at the air-water interface,0,1,0,0
Efficient Graph Edit Distance Computation and Verification via Anchor-aware Lower Bound Estimation,1,0,0,0
Asymptotic measures and links in simplicial complexes,0,0,1,0
Usability of Humanly Computable Passwords,1,0,0,0
Extracting Automata from Recurrent Neural Networks Using Queries and Counterexamples,1,0,0,0
Performance analysis of smart digital signage system based on software-defined IoT and invisible image sensor communication,1,0,0,0
What pebbles are made of: Interpretation of the V883 Ori disk,0,1,0,0
Existence and uniqueness of steady weak solutions to the Navier-Stokes equations in $\mathbb{R}^2$,0,0,1,0
More on products of Baire spaces,0,0,1,0
Moderate Deviation Analysis for Classical-Quantum Channels and Quantum Hypothesis Testing,1,0,0,0
GBDT of discrete skew-selfadjoint Dirac systems and explicit solutions of the corresponding non-stationary problems,0,0,1,0
Panel collapse and its applications,0,0,1,0
Detecting Heavy Flows in the SDN Match and Action Model,1,0,0,0
Achieving Spectrum Efficient Communication Under Cross-Technology Interference,1,0,0,0
A Galactic Cosmic Ray Electron Intensity Increase of a factor of up to 100 At Energies between 3 and 50 MeV in the Heliosheath between the Termination Shock and the Heliopause Due to Solar Modulation As Measured by Voyager 1,0,1,0,0
Integrating Human-Provided Information Into Belief State Representation Using Dynamic Factorization,1,0,0,0
On Integral Upper Limits Assuming Power Law Spectra and the Sensitivity in High-Energy Astronomy,0,1,0,0
Estimates for solutions of Dirac equations and an application to a geometric elliptic-parabolic problem,0,0,1,0
Analysis of Political Party Twitter Accounts' Retweeters During Japan's 2017 Election,1,0,0,0
When a triangle is isosceles?,0,0,1,0
On self-affine sets,0,0,1,0
The effect of phase change on stability of convective flow in a layer of volatile liquid driven by a horizontal temperature gradient,0,1,0,0
A graph model of message passing processes,1,0,0,0
"Holomorphic differentials, thermostats and Anosov flows",0,0,1,0
"Multiplicative slices, relativistic Toda and shifted quantum affine algebras",0,0,1,0
Near-field coupling of gold plasmonic antennas for sub-100 nm magneto-thermal microscopy,0,1,0,0
High temperature thermodynamics of the honeycomb-lattice Kitaev-Heisenberg model: A high temperature series expansion study,0,1,0,0
"Laplace Beltrami operator in the Baran metric and pluripotential equilibrium measure: the ball, the simplex and the sphere",0,0,1,0
Magnetic polarons in a nonequilibrium polariton condensate,0,1,0,0
Inference in Sparse Graphs with Pairwise Measurements and Side Information,1,0,0,0
Oracle Importance Sampling for Stochastic Simulation Models,0,0,0,1
Coherence of Biochemical Oscillations is Bounded by Driving Force and Network Topology,0,1,0,0
How Do Classifiers Induce Agents To Invest Effort Strategically?,0,0,0,1
Of the People: Voting Is More Effective with Representative Candidates,1,0,0,0
Two-photon exchange correction to the hyperfine splitting in muonic hydrogen,0,1,0,0
Quasiparticles and charge transfer at the two surfaces of the honeycomb iridate Na$_2$IrO$_3$,0,1,0,0
